"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"xylanisolvens",0.546850259363988,-1.52520756021933,0.816688793007445,1.07176679522671,0.669594420844468,-1.42307782533673,0.551043532926499,0.249881405140787,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"dorei",-0.768024797647582,1.28267291135607,0.601362278778967,0.813144620703434,-1.27714162452459,1.57742285775248,0.270648484874599,0.189833474695156,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"vulgatus",0.39442989473911,-1.04223647341731,0.383098772385649,0.676016901598272,1.02957754806391,-1.54173138416097,0.361389614293683,0.197997281952045,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_intestinihominis",0.228539960893097,-0.729431814042108,0.262362247258868,0.677930357170749,0.871085544055435,-1.07596865419376,0.447809786864625,0.36076670995003,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sp. An22",-1.31974528333905,2.03706467399586,0.753845044534345,0.93071999162506,-1.75068509491133,2.18869766667319,0.222101973929201,0.160079508807569,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"fastidiosus",-0.666176305578037,1.20971456160195,0.458379194663428,0.900491369058157,-1.45333015401623,1.34339384381575,0.283314147409135,0.311279922069074,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"splanchnicus",-0.0962467901529125,-0.0608831036332703,0.580617646883807,0.783891768729281,-0.165766215803932,-0.0776677419791819,0.876381960208785,0.941822283006375,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"copri",-1.41674684428257,2.58011700462604,2.08624625818264,2.85641746358813,-0.679088980376034,0.903270280873084,0.534343859379986,0.417461086904966,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"communis",-0.213412449753835,0.173448215568575,0.44294075523172,1.1530309338871,-0.481808113688229,0.150428067860977,0.655117346938318,0.887707680242418,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"dispar",-0.355137237347421,0.456897790755746,0.413011154673506,0.827087930548053,-0.859873234242703,0.552417432150161,0.438342020063069,0.610076753365439,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
